State,x,y
Andhra Pradesh,-103.0,-199.0
Arunachal Pradesh,338.0,215.0
Assam,275.0,150.0
Bihar,73.0,120.0
Chhattisgarh,-18.0,6.0
Delhi,-149.0,212.0
Goa,-240.0,-182.0
Gujarat,-313.0,50.0
Haryana,-174.0,223.0
Himachal Pradesh,-148.0,314.0
Jharkhand,67.0,62.0
Karnataka,-212.0,-212.0
Kerala,-185.0,-316.0
Maharashtra,-213.0,-60.0
Madhya Pradesh,-132.0,46.0
Manipur,306.0,100.0
Meghalaya,224.0,124.0
Mizoram,278.0,61.0
Nagaland,325.0,149.0
Odisha,53.0,-19.0
Punjab,-193.0,278.0
Rajasthan,-249.0,157.0
Sikkim,157.0,183.0
Tamil Nadu,-122.0,-306.0
Tripura,246.0,72.0
Telangana,-105.0,-106.0
Uttar Pradesh,-48.0,163.0
Uttarakhand,-95.0,263.0
West Bengal,136.0,51.0
Andaman And Nicobar,292.0,-329.0
Dadra And Nagar Haveli,-266.0,-38.0
Daman And Diu,-317.0,-16.0
Jammu,-211.0,370.0
Kashmir,-145.0,403.0
Lakshadweep,-279.0,-348.0
Puducherry,-83.0,-282.0